Park,ParkLatitude,ParkLongitude,Venue,VenueLatitude,VenueLongitude,VenueCategory,Distance
12th and Howe Play Park,47.636097,-122.372985,Fuji Bakery,47.62823076940516,-122.37045692765852,Bakery,894.991699270239
12th and Howe Play Park,47.636097,-122.372985,S & L,47.63956215037869,-122.36477743016034,Bakery,727.2086707596819
12th and Howe Play Park,47.636097,-122.372985,How To Cook A Wolf,47.63864924974856,-122.35693162837059,Italian Restaurant,1239.2851942520429
12th and Howe Play Park,47.636097,-122.372985,Taco Time,47.62959096201703,-122.37172222161024,Taco Place,729.5607734154651
12th and Howe Play Park,47.636097,-122.372985,Bite Box,47.639423,-122.361439,Bistro,943.157303818517
12th and Howe Play Park,47.636097,-122.372985,Homegrown,47.638472329072904,-122.35704759128632,Sandwich Place,1226.4202851010557
12th and Howe Play Park,47.636097,-122.372985,Eden Hill,47.638697920609744,-122.35703352909904,Restaurant,1233.0896535983536
12th and Howe Play Park,47.636097,-122.372985,Mezcaleria Oaxaca,47.63789916194294,-122.35722965903268,Mexican Restaurant,1200.8073539199738
12th and Howe Play Park,47.636097,-122.372985,Caffe Ladro,47.638644015700386,-122.35709004316857,Café,1227.5658101147847
12th and Howe Play Park,47.636097,-122.372985,Pagliacci Pizza,47.64872732108503,-122.37849224912426,Pizza Place,1463.9834214351483
12th and Howe Play Park,47.636097,-122.372985,Malena's Taco Shop,47.63963466092469,-122.36595650195822,Mexican Restaurant,658.5324483700856
12th and Howe Play Park,47.636097,-122.372985,Betty,47.63266360982503,-122.35718888906577,Restaurant,1246.9630612434755
12th and Howe Play Park,47.636097,-122.372985,Top Pot Doughnuts,47.63223624378161,-122.36169958145749,Donut Shop,950.5555819657596
12th and Howe Play Park,47.636097,-122.372985,Icebox Grocery,47.636153727041254,-122.37045954667484,Sandwich Place,189.8890640064062
12th and Howe Play Park,47.636097,-122.372985,Bounty Kitchen,47.63834554866865,-122.35669142088564,Restaurant,1249.6761227825848
12th and Howe Play Park,47.636097,-122.372985,Palisade Restaurant,47.630288595047205,-122.39156356239815,Seafood Restaurant,1538.3481662993113
12th and Howe Play Park,47.636097,-122.372985,The Cheese Wizards,47.648785,-122.37601000000001,Sandwich Place,1428.8887271890574
12th and Howe Play Park,47.636097,-122.372985,Le Rêve Bakery & Café,47.634984875956796,-122.35717931622186,Bakery,1194.2069654650045
12th and Howe Play Park,47.636097,-122.372985,Toulouse Petit Kitchen & Lounge,47.624761147936056,-122.35682939985381,Cajun / Creole Restaurant,1750.0812150035872
12th and Howe Play Park,47.636097,-122.372985,5 Spot,47.63254988309828,-122.35690826014113,Breakfast Spot,1270.924491775152
12th and Howe Play Park,47.636097,-122.372985,Queen Anne Beerhall,47.620779999999996,-122.35968999999999,German Restaurant,1974.5061801886925
