Park,ParkLatitude,ParkLongitude,Venue,VenueLatitude,VenueLongitude,VenueCategory
Carkeek Park,47.712194000000004,-122.37976299999998,Bánh Town,47.704427,-122.355872,Vietnamese Restaurant
Carkeek Park,47.712194000000004,-122.37976299999998,Alibi Room,47.704707381448095,-122.3560235561549,Pizza Place
Carkeek Park,47.712194000000004,-122.37976299999998,Baja Tacos & Beer,47.696827,-122.37241499999999,Taco Place
Carkeek Park,47.712194000000004,-122.37976299999998,Taki's Mad Greek,47.691775531704955,-122.37706966988854,Greek Restaurant
Carkeek Park,47.712194000000004,-122.37976299999998,Wild Mountain Cafe,47.69077875358802,-122.37455876932466,American Restaurant
Carkeek Park,47.712194000000004,-122.37976299999998,La Cabaña,47.705213,-122.35091399999999,Latin American Restaurant
Carkeek Park,47.712194000000004,-122.37976299999998,Wicked Good Grinders,47.7196573246086,-122.35596591468729,Food Truck
Carkeek Park,47.712194000000004,-122.37976299999998,Panda Express,47.70149353989346,-122.3636925792222,Chinese Restaurant
Carkeek Park,47.712194000000004,-122.37976299999998,Tiko Riko - Great Latin Food,47.70496649572734,-122.355168377203,Latin American Restaurant
Carkeek Park,47.712194000000004,-122.37976299999998,Luisa's Mexican Grill,47.70092998838964,-122.36276983931535,Mexican Restaurant
Carkeek Park,47.712194000000004,-122.37976299999998,Chada Thai,47.71966349876733,-122.35511390944248,Thai Restaurant
Carkeek Park,47.712194000000004,-122.37976299999998,Mr and Mrs Wok,47.70173536569486,-122.36161026350649,Asian Restaurant
Carkeek Park,47.712194000000004,-122.37976299999998,Kasbah Authentic Moroccan Restaurant,47.690435847444284,-122.37560362401717,Moroccan Restaurant
Carkeek Park,47.712194000000004,-122.37976299999998,Choi's Mongolian Grill,47.7022477430982,-122.36259748024608,Asian Restaurant
Carkeek Park,47.712194000000004,-122.37976299999998,Patty's Eggnest,47.70138766120114,-122.36449243649564,Breakfast Spot
Carkeek Park,47.712194000000004,-122.37976299999998,Papa John's Pizza,47.694423,-122.375077,Pizza Place
Carkeek Park,47.712194000000004,-122.37976299999998,Papa Murphy's,47.70116356653297,-122.3645738005166,Pizza Place
Carkeek Park,47.712194000000004,-122.37976299999998,JB Garden Dim Sum & BBQ,47.704994246660334,-122.35520025552148,Dim Sum Restaurant
Carkeek Park,47.712194000000004,-122.37976299999998,Domino's Pizza,47.71994161700571,-122.35508824994213,Pizza Place
